X,Y,CCN,REPORT_DAT,START_DATE,END_DATE,BLOCK,OFFENSE,METHOD,SHIFT,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,BID,XBLOCK,YBLOCK,LATITUDE,LONGITUDE,OBJECTID,OCTO_RECORD_ID
398099.299999997,137916.59,26032601,2026/03/12 21:42:49+00,2026/03/12 20:33:00+00,2026/03/12 21:10:00+00,1400 - 1499 BLOCK OF 7TH STREET NW,THEFT/OTHER,OTHERS,EVENING,2,2G,3,307,Cluster 7,004901 2,004901,Precinct 18,,398099.3,137916.59,38.9091079868,-77.0219144344,923910651,
396163.670000002,137783.539999999,26022948,2026/02/20 19:57:21+00,2026/02/20 17:30:00+00,2026/02/20 19:55:00+00,1900 - 1999 BLOCK OF SUNDERLAND PLACE NW,THEFT F/AUTO,OTHERS,DAY,2,2B,2,208,Cluster 6,010700 2,010700,Precinct 14,,396163.67,137783.54,38.9079031095,-77.0442308541,923910692,
394982.590000004,144017.379999999,26024072,2026/02/23 02:54:35+00,2026/02/19 14:15:00+00,2026/02/19 23:00:00+00,2800 - 2899 BLOCK OF KANAWHA STREET NW,THEFT F/AUTO,OTHERS,EVENING,4,3/4G,2,201,Cluster 10,001402 1,001402,Precinct 52,,394982.59,144017.38,38.9640534398,-77.0578936586,923910693,
393070.630000003,142276.379999999,26024674,2026/02/24 22:18:42+00,2026/02/23 17:00:00+00,2026/02/23 17:05:00+00,4500 - 4537 BLOCK OF WISCONSIN AVENUE NW,MOTOR VEHICLE THEFT,OTHERS,EVENING,3,3E,2,202,Cluster 11,001100 4,001100,Precinct 32,,393070.63,142276.38,38.9483570552,-77.0799373128,923910694,
398175.390000001,143049.190000001,26420148,2026/01/12 12:16:51+00,2026/01/11 02:10:00+00,2026/01/11 02:15:00+00,500 - 699 BLOCK OF JEFFERSON STREET NW,THEFT/OTHER,OTHERS,DAY,4,4D,4,403,Cluster 18,002101 3,002101,Precinct 56,,398175.39,143049.19,38.9553441721,-77.0210507882,923910695,
394784.25,137339.73,26420182,2026/01/14 02:31:48+00,2026/01/12 14:50:00+00,2026/01/12 19:30:00+00,1000 - 1099 BLOCK OF THOMAS JEFFERSON STREET NW,THEFT/OTHER,OTHERS,EVENING,2,2E,2,206,Cluster 4,000102 3,000102,Precinct 5,GEORGETOWN,394784.25,137339.73,38.9038980119,-77.060131462,923910696,
400088.384900004,134826.524900001,26420274,2026/01/20 15:02:15+00,2025/11/18 15:15:00+00,2026/01/18 15:30:00+00,500 - 599 BLOCK OF G STREET SE,THEFT F/AUTO,OTHERS,DAY,6,6B,1,106,Cluster 26,007000 1,007000,Precinct 90,,400088.384894035,134826.52489055,38.8812735997,-76.9989813493,923910697,
398054.369999997,137708.98,26420344,2026/01/22 15:32:16+00,2026/01/19 04:25:00+00,2026/01/19 04:25:00+00,700 - 799 BLOCK OF N STREET NW,THEFT F/AUTO,OTHERS,DAY,2,2G,3,307,Cluster 7,004902 2,004902,Precinct 18,,398054.37,137708.98,38.907237666,-77.022431874,923910698,
398398.240000002,145596.579999998,26420776,2026/02/25 15:31:47+00,2026/02/16 13:50:00+00,2026/02/24 00:50:00+00,7090 - 7099 BLOCK OF EASTERN AVENUE NW,THEFT/OTHER,OTHERS,DAY,4,4B,4,401,Cluster 17,001702 2,001702,Precinct 63,,398398.24,145596.58,38.9782921181,-77.0184856871,923910699,
400930.240000002,136474.23,26420780,2026/02/25 16:15:54+00,2026/02/24 16:30:00+00,2026/02/24 17:10:00+00,1200 - 1299 BLOCK OF E STREET NE,THEFT F/AUTO,OTHERS,DAY,6,6A,1,108,Cluster 25,008001 2,008001,Precinct 81,,400930.24,136474.23,38.89611626,-76.9892765977,923910700,
398225.060000002,141510.010000002,26421052,2026/03/18 01:16:04+00,2026/03/10 20:25:00+00,2026/03/10 20:27:00+00,4100 - 4199 BLOCK OF NEW HAMPSHIRE AVENUE NW,THEFT/OTHER,OTHERS,EVENING,4,4C,4,407,Cluster 18,002400 4,002400,Precinct 45,,398225.06,141510.01,38.9414789142,-77.0204737557,923910701,
399080.390000001,138386.609999999,26421176,2026/03/27 01:30:42+00,2026/03/25 20:00:00+00,2026/03/26 15:00:00+00,1 - 99 BLOCK OF RANDOLPH PLACE NW,THEFT/OTHER,OTHERS,EVENING,5,5E,3,308,Cluster 21,003302 2,003302,Precinct 19,,399080.39,138386.61,38.9133436609,-77.0106034249,923910702,
400695.042999998,129114.491500001,26000607,2026/01/02 18:31:55+00,2026/01/02 15:46:00+00,2026/01/02 18:20:00+00,800 - 899 BLOCK OF H R DRIVE SE,ASSAULT W/DANGEROUS WEAPON,OTHERS,DAY,8,8E,7,706,Cluster 39,009700 1,009700,Precinct 125,,400695.043038598,129114.491509249,38.829816893,-76.9919952853,923911941,
